AOI,NAME,NAME_1,NonHispanicBlackAfricanAmerican2022Percentage,NeighborhoodAreaFt,AllSingleFamParcelsCount,CorpSspctParcelsCount,ProportionSingFamParcelsCorpSspct,ProportionSingleFamilyAreaCorpSspct,ProportionNeighborhoodAreaCorpSspct,CorpSspct_AreaFeetSum,CorpSspct_AreaFeetMin,CorpSspct_AreaFeetMax,CorpSspct_AreaFeetRange,CorpSspct_AreaFeetMean,CorpSspct_AreaFeetMedian,CorpSspct_AreaFeetStddev,CorpSspct_AreaFeetQ1,CorpSspct_AreaFeetQ3,CorpSspct_AreaFeetIqr,NotCorpSspctAreaFeet_Sum,NotCorpSspctAreaFeet_Min,NotCorpSspctAreaFeet_Max,NotCorpSspctAreaFeet_Range,NotCorpSspctAreaFeet_Mean,NotCorpSspctAreaFeet_Median,NotCorpSspctAreaFeet_Stddev,NotCorpSspctAreaFeet_Q1,NotCorpSspctAreaFeet_Q3,NotCorpSspctAreaFeet_Iqr
,Adair Park,Adair Park,74.3,12600960.43,498,93,0.186746988,0.13430666,0.063071204,794757.7422,2737.900879,50884.41187,48146.51099,8454.869598,7718.122925,5218.404176,6553.661133,9222.733398,2669.072266,5122727.995,2384.648682,721207.4851,718822.8364,12648.7111,8967.942139,44022.33753,7379.356689,10093.0708,2713.714111
,Adams Park,Adams Park,93,27378542.84,723,86,0.118948824,0.075952601,0.067446783,1846594.636,8050.145752,129127.4668,121077.321,20748.25433,15488.84033,18031.36928,13406.40308,22677.79663,9271.393555,22465866.08,1882.348389,5609305.896,5607423.548,33282.76456,18684.75464,218116.548,13940.26697,24988.14746,11047.88049
,Adamsville,Adamsville,93.1,25410961,690,128,0.185507246,0.225167442,0.143827612,3654797.843,6465.53418,491941.4785,485475.9443,28553.10815,14720.55359,56365.49483,11011.09106,20594.22949,9583.138428,12576668.9,201.9699707,781502.083,781300.113,22378.41442,14100.61975,42555.85838,10576.77734,21681.9856,11105.20825
,Almond Park,Almond Park,96.5,14693291.21,374,178,0.475935829,0.296871828,0.26332015,3869039.648,3329.977051,192651.6184,189321.6414,21736.1778,13607.10291,25330.3341,8901.737549,22978.45044,14076.71289,9163654.22,1884.19043,1583015.785,1581131.594,46753.33786,10537.90503,178994.2061,7661.039429,17182.40247,9521.363037
,Ansley Park,Ansley Park,8.9,16926842.96,786,47,0.059796438,0.028077321,0.040557641,686512.8237,932.4140625,65666.04834,64733.63428,14010.46579,11528.22095,10827.9125,8745.465576,15934.87305,7189.407471,23764282.54,100,2252736.644,2252636.644,34947.47433,12549.87036,135938.2298,8811.966431,16932.96997,8121.00354
,Arden/Habersham,Arden Habersham,2.4,4992431.48,130,4,0.030769231,0.021477289,0.028228295,140927.8286,18536.60254,45242.12646,26705.52393,28185.56572,20573.92456,10592.33539,20573.92456,36001.25049,15427.32593,6420786.217,1868.455566,784462.5813,782594.1257,43092.52494,30235.44019,65141.04089,21335.99365,49474.479,28138.48535
,Ardmore,Ardmore,21.4,3673664.928,193,10,0.051813472,0.320833668,0.30625216,1125067.82,14037.88745,147010.0544,132972.167,112506.782,147010.0544,53161.71474,40979.77563,147010.0544,106030.2788,2381633.416,99.99951172,268835.4292,268735.4297,20891.52119,14882.42773,26685.14108,12173.71118,19275.45239,7101.741211
,Argonne Forest,Argonne Forest,2.4,7535976.508,227,11,0.04845815,0.130232062,0.133067904,1002796.599,19869.3877,160627.7461,140758.3584,71628.32849,53043.02966,49817.89899,25925.51221,101559.3218,75633.80957,6697278.068,4926.14502,100007.7783,95081.6333,28378.2969,23454.74597,16720.68667,18820.89197,29252.86304,10431.97107
,Arlington Estates,Arlington Estates,98,9401121.692,357,45,0.12605042,0.418538895,0.572551149,5382623.021,8004.275146,1827728.53,1819724.255,117013.5439,15083.28064,379730.2434,11969.89111,20528.74194,8558.85083,7477885.5,8227.085449,1186487.864,1178260.779,23967.58173,14524.18604,75434.26039,12020.87769,18129.71179,6108.834106
,Atkins Park,Atkins Park,5.5,1512563.014,165,7,0.042424242,0.067337126,0.048085463,72732.29346,6705.044434,16244.29126,9539.246826,10390.32764,7965.21875,3947.175954,7208.116821,13700.75269,6492.635864,1007389.443,1036.534668,20199.06226,19162.52759,7247.406067,7063.941895,2716.606758,5850.647217,8953.055176,3102.407959
