system:index,AOI,BUILDING,BrowningFraction,BrowningSqKm,CLASSDSCRP,CNTASSDVAL,CNVYNAME,CVTTXCD,CVTTXDSCRP,CorpSspct,GLOBALID,GreeningFraction,GreeningSqKm,IMPRASSESS,IMPR_APPR,LANDAPPR,LANDASSESS,LIVUNITS,LNDVALUE,LOWPARCELI,LandUse,NAME,NAME_1,NonHispani,OBJECTID,OWNERNME1,OWNERNME2,PARCELID,PSTLADDRES,PSTLADDR_1,PSTLCITY,PSTLSTATE,PSTLZIP5,Proporti_1,Proporti_2,Proportion,REFERENCE,SITEADDRES,SITECITY,SITESTATE,SITEZIP,STATEDAREA,Shape__Are,Shape__Len,TOT_APPR,UNIT,USEDSCRP,ZONECLASS,browning,greening,layer,path,.geo
0000000000000000089a,,,0.053754984271988056,7.105116581764875E-5,,,,,,LLC,24535cc6-2169-4610-92cc-4b56742773b8,0.9456305286713539,0.001249896,0,0,202400,80960,0,202400,17 0103  LL107,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,23345,WILLIAM I LYNCH TRUST THE & DANA W LYNCH TRUST THE,,17 0103  LL1074,564 BISMARK RD NE,,ATLANTA,GA,30324,0.150420762,0.167896987,0.05955335,R1194,0 HUNTINGTON RD NE,ATLANTA,GA,30309,,14278.57324,511.904791,202400,,Fulton,R-4,71.05116581764875,1249.896217156392,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.3876357297828,33.80727211364296],[-84.3876313196381,33.80726766653895],[-84.38762233897876,33.8072498468815],[-84.38761792883305,33.80724098316172],[-84.38761343850254,33.80723203086318],[-84.38760902835618,33.80721866559129],[-84.38760004769344,33.80720526253976],[-84.38759563754607,33.80719631388038],[-84.38759114721385,33.807187446512046],[-84.3875867370658,33.80717408123342],[-84.3875822467329,33.80716512892786],[-84.38757775639966,33.807151760002974],[-84.38757334625063,33.80714281133806],[-84.38756885591671,33.80712944240986],[-84.38756885591671,33.80711610761543],[-84.38756436558245,33.807102738683405],[-84.38755995543241,33.80709379001363],[-84.38755995543241,33.80708045521423],[-84.3874306176122,33.80710269253073],[-84.38735925316324,33.807080424746594],[-84.38704268263218,33.807098231676136],[-84.38705607356805,33.80726769067611],[-84.38706056394106,33.80737474263796],[-84.38761343850254,33.80727662167547],[-84.3876357297828,33.80727211364296]]]}"
00000000000000001808,,,0.3901120713901628,0.001169261,,,,,,LLC,27376c13-fc09-4e02-9b90-c92b936ada42,0.6087417241217614,0.001824547,685000,1712500,787500,315000,0,787500,17 01100003022,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,18951,PEACHTREE PALISADES LLC,,17 011000030222,2950 HARDMAN CT NE,,ATLANTA,GA,30305,0.150420762,0.167896987,0.05955335,R1194,1829 PEACHTREE RD NE,ATLANTA,GA,30309,,61193.00928,1027.096174,2500000,,Fulton,R-4,1169.2607631287142,1824.5470086544171,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.39319625850614,33.80551969621294],[-84.3931427003312,33.8049891256663],[-84.39299557545309,33.80499357506859],[-84.39266115562903,33.80502027059423],[-84.3925853877472,33.805011395523856],[-84.3925808977956,33.80501136159998],[-84.39260318719487,33.80518080404745],[-84.39261208691669,33.80525663225921],[-84.39262098663717,33.80533246041],[-84.39262996653393,33.805412708865674],[-84.39264335619887,33.805501905919726],[-84.3926477659681,33.80553310806646],[-84.39287522943462,33.80552865333951],[-84.39291082814925,33.80552865528328],[-84.39319625850614,33.80551969621294]]]}"
00000000000000002189,,,0,0,,,,,,LLC,bbc46f07-4f93-4d72-8214-696d2b146102,3.8009656507163863,5.882059710282906E-6,2106280,5265700,1382700,553080,0,1382700,17 01090002017,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,18136,MSC PEACHTREE LLC,,17 010900020176,725 PARK CENTER DR,,MATTHEWS,NC,28105,0.150420762,0.167896987,0.05955335,R1194,1795 PEACHTREE ST NE,ATLANTA,GA,30309,,33817.18384,975.8344495,6648400,,Fulton,R-4,0,5.882059710282906,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-84.39180054854596,33.80384310753099],[-84.39178717124281,33.8037940574194],[-84.39177825304068,33.803776221015184]]},{""type"":""Polygon"",""coordinates"":[[[-84.39177823326315,33.80377619730002],[-84.39176043356599,33.80370930712429],[-84.39175594355146,33.803709358111924],[-84.39177823326315,33.80377619730002]]]}]}"
00000000000000002644,,,0.032031730903701094,7.25459143227222E-8,,,,,,LLC,257fa3c6-4d6f-4ab8-8f75-98488460c147,0.9599182226316337,2.1740362812491023E-6,14571720,36429300,6127400,2450960,0,6127400,17 01090002021,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,17960,1781 PEACHTREE LLC,,17 010900020218,1777 PEACHTREE  NE NE 200,,ATLANTA,GA,30324,0.150420762,0.167896987,0.05955335,R1194,0 PEACHTREE RD NW,ATLANTA,GA,30309,,84411.10815,1211.651662,42556700,,Fulton,R-4,0.072545914,2.1740362812491023,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.39176043356599,33.80370930712429],[-84.39174704370018,33.80366920286023],[-84.39173365383132,33.80363801713002],[-84.39175594355146,33.803709358111924],[-84.39176043356599,33.80370930712429]]]}"
00000000000000000e74,,,0.34785001260644033,3.881783850949184E-4,,,,,,LLC,b3fbae77-31b4-4a3d-a385-ae7c06cc7414,0.6495962904042671,7.249079483520748E-4,56440,141100,14300,5720,1,14300,17 01090012033,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,24784,HUNTINGTON G6 LLC,,17 010900120331,1777 PEACHTREE  NE 200,,ATLANTA,GA,30308,0.150420762,0.167896987,0.05955335,R1194,1765 PEACHTREE ST NW 6 G,ATLANTA,GA,30309,,76451.69335937501,1511.71471,155400,6 G,Fulton,R-4,388.1783850949184,724.9079483520749,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.3916578847555,33.803093941877385],[-84.39160881520672,33.80308508904702],[-84.39160881520672,33.80309842448079],[-84.39134574720612,33.80309845820094],[-84.39126989745145,33.80309841225209],[-84.3913055773165,33.803201024545274],[-84.39133676711342,33.80330801957645],[-84.39136803707315,33.803401682738794],[-84.39137244693792,33.80342396701692],[-84.39164890471041,33.80342844837016],[-84.3916578847555,33.803093941877385]]]}"
00000000000000000e7b,,,0.34785001260644033,3.881783850949184E-4,,,,,,LLC,c68e0eae-c422-4ef3-bf6f-ee9aeadc7ad9,0.6495962904042671,7.249079483520748E-4,69080,172700,19700,7880,1,19700,17 01090012031,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,24786,BROOKWOOD BUYERS CLUB LLC,,17 010900120315,1777 PEACHTREE  NE 200,,ATLANTA,GA,30324,0.150420762,0.167896987,0.05955335,R1194,1765 PEACHTREE ST NW 4 G,ATLANTA,GA,30309,,76451.69335937501,1511.71471,192400,4 G,Fulton,R-4,388.1783850949184,724.9079483520749,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.3916578847555,33.803093941877385],[-84.39160881520672,33.80308508904702],[-84.39160881520672,33.80309842448079],[-84.39134574720612,33.80309845820094],[-84.39126989745145,33.80309841225209],[-84.3913055773165,33.803201024545274],[-84.39133676711342,33.80330801957645],[-84.39136803707315,33.803401682738794],[-84.39137244693792,33.80342396701692],[-84.39164890471041,33.80342844837016],[-84.3916578847555,33.803093941877385]]]}"
00000000000000000ed6,,,0.34785001260644033,3.881783850949184E-4,,,,,,LLC,01241953-ab19-4c32-9bdd-a4909f8f2c14,0.6495962904042671,7.249079483520748E-4,66760,166900,18700,7480,1,18700,17 01090012035,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,22058,HUNTINGTON H2 LLC,,17 010900120356,1777 PEACHTREE  NE NE 200,,ATLANTA,GA,30308,0.150420762,0.167896987,0.05955335,R1194,1765 PEACHTREE ST NE H 2,ATLANTA,GA,30309,,76451.69335937501,1511.71471,185600,H 2,Fulton,R-4,388.1783850949184,724.9079483520749,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.3916578847555,33.803093941877385],[-84.39160881520672,33.80308508904702],[-84.39160881520672,33.80309842448079],[-84.39134574720612,33.80309845820094],[-84.39126989745145,33.80309841225209],[-84.3913055773165,33.803201024545274],[-84.39133676711342,33.80330801957645],[-84.39136803707315,33.803401682738794],[-84.39137244693792,33.80342396701692],[-84.39164890471041,33.80342844837016],[-84.3916578847555,33.803093941877385]]]}"
00000000000000000ee6,,#,0.34785001260644033,3.881783850949184E-4,,,,,,LLC,5d934478-05de-424c-9c2c-dc69607e8e96,0.6495962904042671,7.249079483520748E-4,66400,166000,18600,7440,1,18600,17 01090012036,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,22101,I OFF RENTALS III LLC,,17 010900120364,1777 PEACHTREE  NE 200,,ATLANTA,GA,30324,0.150420762,0.167896987,0.05955335,R1194,1765 PEACHTREE ST NW # 3 H,ATLANTA,GA,30309,,76451.69335937501,1511.71471,184600,3 H,Fulton,R-4,388.1783850949184,724.9079483520749,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.3916578847555,33.803093941877385],[-84.39160881520672,33.80308508904702],[-84.39160881520672,33.80309842448079],[-84.39134574720612,33.80309845820094],[-84.39126989745145,33.80309841225209],[-84.3913055773165,33.803201024545274],[-84.39133676711342,33.80330801957645],[-84.39136803707315,33.803401682738794],[-84.39137244693792,33.80342396701692],[-84.39164890471041,33.80342844837016],[-84.3916578847555,33.803093941877385]]]}"
00000000000000001451,,#,0.34785001260644033,3.881783850949184E-4,,,,,,LLC,f5e9e4ca-667b-4655-8bd5-4c09099246fa,0.6495962904042671,7.249079483520748E-4,68080,170200,19300,7720,1,19300,17 01090012012,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,24720,HUNTINGTON C1 LLC,,17 010900120125,1777 PEACHTREE  NE NE 200,,ATLANTA,GA,30308,0.150420762,0.167896987,0.05955335,R1194,1765 PEACHTREE ST NW # 1 C,ATLANTA,GA,30309,,76451.69335937501,1511.71471,189500,1 C,Fulton,R-4,388.1783850949184,724.9079483520749,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.3916578847555,33.803093941877385],[-84.39160881520672,33.80308508904702],[-84.39160881520672,33.80309842448079],[-84.39134574720612,33.80309845820094],[-84.39126989745145,33.80309841225209],[-84.3913055773165,33.803201024545274],[-84.39133676711342,33.80330801957645],[-84.39136803707315,33.803401682738794],[-84.39137244693792,33.80342396701692],[-84.39164890471041,33.80342844837016],[-84.3916578847555,33.803093941877385]]]}"
00000000000000001463,,#,0.34785001260644033,3.881783850949184E-4,,,,,,LLC,7390c011-9b7c-4c7a-a4d5-faae65d2c721,0.6495962904042671,7.249079483520748E-4,68400,171000,19400,7760,1,19400,17 01090012013,Residential - Single Family,Brookwood Hills,Brookwood Hills,13,24763,H ARMS II LLC,,17 010900120133,1777 PEACHTREE  NE 200,,ATLANTA,GA,30308,0.150420762,0.167896987,0.05955335,R1194,1765 PEACHTREE ST NE # 2 C,ATLANTA,GA,30309,,76451.69335937501,1511.71471,190400,2 C,Fulton,R-4,388.1783850949184,724.9079483520749,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.3916578847555,33.803093941877385],[-84.39160881520672,33.80308508904702],[-84.39160881520672,33.80309842448079],[-84.39134574720612,33.80309845820094],[-84.39126989745145,33.80309841225209],[-84.3913055773165,33.803201024545274],[-84.39133676711342,33.80330801957645],[-84.39136803707315,33.803401682738794],[-84.39137244693792,33.80342396701692],[-84.39164890471041,33.80342844837016],[-84.3916578847555,33.803093941877385]]]}"
