system:index,AOI,BUILDING,Browning fraction,BrowningSqKm,CLASSDSCRP,CNTASSDVAL,CNVYNAME,CVTTXCD,CVTTXDSCRP,CorpSspct,GLOBALID,GreeningFraction,GreeningSqKm,IMPRASSESS,IMPR_APPR,LANDAPPR,LANDASSESS,LIVUNITS,LNDVALUE,LOWPARCELI,LandUse,NAME,NAME_1,NonHispani,OBJECTID,OWNERNME1,OWNERNME2,PARCELID,PSTLADDRES,PSTLADDR_1,PSTLCITY,PSTLSTATE,PSTLZIP5,Proporti_1,Proporti_2,Proportion,REFERENCE,SITEADDRES,SITECITY,SITESTATE,SITEZIP,STATEDAREA,Shape__Are,Shape__Len,TOT_APPR,UNIT,USEDSCRP,ZONECLASS,browning,greening,layer,path,.geo
0000000000000000103b,,,0.21435902390011674,1.6541693773924136E-6,,,,,,LLC,1c57d029-bc36-4303-8442-13cfb8151ab3,0.779860264,6.018039008916593E-6,0,0,254700,101880,0,254700,14 0218  LL130,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,92443,HABIF MORRIS N & M H LUCKIE LLC,,14 0218  LL1305,3717 ROSWELL RD STE 100,,ATLANTA,GA,30342,0.12137754,0.038504005,0.103448276,R1031,0 CAMPBELLTON RD SW,ATLANTA,GA,30311,,208722.6824,3314.5636125922506,254700,,Fulton,R-4,1.6541693773924135,6.018039008916593,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47699166560093,33.69809108856303],[-84.47698718210603,33.69809105853503],[-84.47698718210603,33.69809998802672],[-84.47698277867319,33.698434434204565],[-84.47699166560093,33.69809108856303]]]}"
00000000000000001208,,,0.22440161529241204,1.6997856839030397E-6,,,,,,LLC,120c2043-fb44-4e44-bcfa-c01af1c1a602,0.7675433453845667,5.8139474110276095E-6,14040,35100,91800,36720,0,91800,14 01990005021,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89886,VICTORIA 138 LLC,,14 019900050213,2741 CHURCH ST,,EAST POINT,GA,30344,0.12137754,0.038504005,0.103448276,R1031,2690 CAMPBELLTON RD SW,ATLANTA,GA,30311,,15882.90161,509.1031497,126900,,Fulton,R-4,1.6997856839030396,5.813947411,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.4766215359263,33.701841206306554],[-84.47661713246592,33.70184117981993],[-84.47661713246592,33.702175638981785],[-84.4766215359263,33.701841206306554]]]}"
00000000000000000046,,,0.10043359247564657,1.242200319423395E-4,,,,,,LLC,f4d83b0e-61e4-4b5f-bc39-1fbe62f5fee4,0.8986442104141404,0.001111477,29960,74900,16000,6400,1,16000,14 01990006036,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89866,RNTR 1 LLC,,14 019900060360,3495 PIEDMONT RD BLDG 11,,ATLANTA,GA,30305,0.12137754,0.038504005,0.103448276,R1031,1970 RENA CIR SW,ATLANTA,GA,30311,,13270.96045,499.8305661,90900,,Fulton,R-4,124.22003194233952,1111.4768452548512,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47127957439143,33.7013417316817],[-84.47086040524405,33.701007335390884],[-84.47068200722464,33.70124368181562],[-84.47116363258591,33.70146215406226],[-84.4711725203982,33.70144877484893],[-84.47117700433903,33.70143987601111],[-84.47118589214928,33.70143091883166],[-84.47119486002853,33.70142205026743],[-84.47119926389729,33.701417569887326],[-84.4712082317745,33.70140861628128],[-84.47121711958,33.701399744134974],[-84.4712216035174,33.701390760250774],[-84.47123049132088,33.7013818881014],[-84.47123945919328,33.701372934488774],[-84.47124834699405,33.70136848437775],[-84.47125723479347,33.701359612223655],[-84.47126620266177,33.70135065860626],[-84.47127957439143,33.7013417316817]]]}"
000000000000000000bb,,,0.21084637085475716,0.001020895,,,,,,LLC,1e272eda-47a0-4901-a5e1-c9b9b1b748ae,0.7882506543587283,0.003816623,27800,69500,60300,24120,1,60300,14 01990006005,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89872,REDDOR INVESTMENTS LLC,,14 019900060055,4628 SPOTTED PONY WAY NW,,DECATUR,GA,30030,0.12137754,0.038504005,0.103448276,R1031,1964 RENA CIR SW,ATLANTA,GA,30311,,52433.68457,1316.338508,129800,,Fulton,R-4,1020.8950605004446,3816.623432,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47068200722464,33.70124368181562],[-84.4695048709245,33.70071298191049],[-84.46946915850809,33.70072635268877],[-84.46939332960547,33.70076650369894],[-84.4694156699154,33.70077991802499],[-84.46943793014404,33.70078882166685],[-84.46946467443634,33.70080217770594],[-84.46948701471902,33.7008155920146],[-84.46950927492051,33.700828917699056],[-84.46953601918018,33.70084235875722],[-84.46955835943561,33.70086019510532],[-84.46958061960996,33.70087352077141],[-84.46960295984836,33.70088693505025],[-84.46962522000572,33.700900260705],[-84.46964756022709,33.700918097027504],[-84.46966533631111,33.70093147737503],[-84.46968767651714,33.70094931368519],[-84.46970993664227,33.70096714640958],[-84.4697277927797,33.700980530320905],[-84.46975013296188,33.70099836661172],[-84.46976790901472,33.701016254025134],[-84.46978576513445,33.70103405997233],[-84.46980802522224,33.70105189266518],[-84.4698258813297,33.70106978364012],[-84.46984373743172,33.70108758957014],[-84.46986159352828,33.70110539549464],[-84.46987936954726,33.70112328287429],[-84.46989722563293,33.70114551083335],[-84.4699105976756,33.70116337145374],[-84.46992845375175,33.70118126239535],[-84.46994182578727,33.70120354504944],[-84.4699596818539,33.701221350940564],[-84.46997305388228,33.70124363358278],[-84.4699864259076,33.701261494178425],[-84.4700042819606,33.70128380713231],[-84.47001765397879,33.70130608975642],[-84.47003102599392,33.701323950336686],[-84.470044398006,33.701346232949334],[-84.47005328598837,33.70136848523439],[-84.47006665799536,33.70139076783503],[-84.47007562604622,33.70141310872642],[-84.4700889980481,33.70143539131503],[-84.47049480081839,33.70151118315467],[-84.47108340200306,33.701622694543744],[-84.47108780588023,33.70161379214991],[-84.47108780588023,33.70160486305178],[-84.47109228982754,33.70159145716445],[-84.4710967737745,33.70158255834489],[-84.47110117765067,33.701573655946405],[-84.47110566159697,33.70156467208555],[-84.47111014554291,33.701551351230364],[-84.47111454941806,33.701542448828086],[-84.47111903336332,33.70153346496343],[-84.47112351730826,33.70152456613674],[-84.47112792118239,33.70151566373114],[-84.47113688907052,33.701506710141885],[-84.47114137301409,33.70149781131163],[-84.47114577688687,33.70148440182771],[-84.47115474477228,33.7014755332727],[-84.47115914864406,33.70146663086066],[-84.47116363258591,33.70146215406226],[-84.47068200722464,33.70124368181562]]]}"
000000000000000001ea,,,0.2813370632820482,2.807734764876321E-4,,,,,,LLC,b680f411-ecfb-4b72-a7e6-a58140e5adf1,0.717944304,7.165060859718735E-4,24080,60200,32200,12880,1,32200,14 01990001049,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89598,SABA PROPERTY INVESTORS LLC,,14 019900010498,3900 CROWN RD SW # 16709,,ATLANTA,GA,30311,0.12137754,0.038504005,0.103448276,R1031,1968 MARVIN LN SW,ATLANTA,GA,30311,,10798.18872,479.9905343,92400,,Fulton,R-4,280.77347648763214,716.5060859718735,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47296062467183,33.701297182316296],[-84.47248349795115,33.701283777657025],[-84.47237204238178,33.70127930888873],[-84.47235867090194,33.70144428320887],[-84.47294725332658,33.70146215678441],[-84.47296062467183,33.701297182316296]]]}"
0000000000000000079f,,,0.098499957,1.4141304714340787E-4,,,,,,LLC,1ec5f4cf-d8e7-4f5e-a75f-c61f4a1ea43b,0.9008895895009414,0.001293377,23200,58000,17000,6800,1,17000,14 01990001027,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89639,TWIN CRIBS LLC,,14 019900010274,8343 ROSWELL RD STE 164,,SANDY SPRINGS,GA,30350,0.12137754,0.038504005,0.103448276,R1031,2586 CAMPBELLTON RD SW,ATLANTA,GA,30311,,15532.91333,518.5605599,75000,,Fulton,R-4,141.41304714340788,1293.3766309772045,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47290713927246,33.70213548982805],[-84.4725905495444,33.70211318389224],[-84.4725905495444,33.70213997108426],[-84.47257269428106,33.70256802259869],[-84.47287591274421,33.702585819581266],[-84.47290265546431,33.70213996666966],[-84.47290713927246,33.70213548982805]]]}"
00000000000000000c69,,,0.44663119616264163,6.28590820834333E-4,,,,,,LLC,643ae55c-d5f1-4281-b04b-31ebb1a797f9,0.5506658866533295,7.750097276474912E-4,22440,56100,35600,14240,1,35600,14 01990001010,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89627,RAZZ GROUP LLC,,14 019900010100,2917 ASHEBROOKE DR,,MARIETTA,GA,30068,0.12137754,0.038504005,0.103448276,R1031,1961 MARVIN LN SW,ATLANTA,GA,30311,,15178.98389,625.9696182,91700,,Fulton,R-4,628.5908208343329,775.0097276474912,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47394168874482,33.701502320694146],[-84.47311227312798,33.7014710585607],[-84.4731033055428,33.70163605939095],[-84.4739282375573,33.701667291522114],[-84.47394168874482,33.701502320694146]]]}"
00000000000000000c91,,,0.5426490871144337,4.6439399280419585E-4,,,,,,LLC,2861f0ce-5a37-4ffd-b4b0-2d73bbe1d12b,0.4577037759673887,3.9169859323513295E-4,44400,111000,14000,5600,1,14000,14 01990005046,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89885,TULEY ENTERPRISES LLC,,14 019900050460,3745 CHEROKEE ST #605,,KENNESAW,GA,30144,0.12137754,0.038504005,0.103448276,R1031,2657 IVEYDALE CT SW,ATLANTA,GA,30311,,9172.725342,402.454341,125000,,Fulton,R-4,464.3939928041959,391.69859323513293,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47598391141022,33.699847972982944],[-84.47576093334031,33.699812250985694],[-84.47566733834228,33.70018242262494],[-84.47570745050265,33.70018242758973],[-84.4759080909555,33.70018237073132],[-84.47598391141022,33.699847972982944]]]}"
00000000000000000cb6,,,0.634435177,5.15620574540718E-4,,,,,,LLC,9f1360cc-cd3e-4b78-9d55-2d968f7a1af8,0.36623821,2.9765051320358856E-4,41440,103600,30500,12200,1,30500,14 01990005047,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89803,P FIN I LLC,,14 019900050478,3525 PIEDMONT RD BLDG/STE 5/410,,ATLANTA,GA,30305,0.12137754,0.038504005,0.103448276,R1031,2665 IVEYDALE CT SW,ATLANTA,GA,30311,,8723.741699,385.8665677020181,134100,,Fulton,R-4,515.6205745,297.65051320358856,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47598391141022,33.699847972982944],[-84.4759080909555,33.70018237073132],[-84.47602402335336,33.700182358821095],[-84.47619792151907,33.70018238325072],[-84.47619792151907,33.70017796112841],[-84.47618903447066,33.699874733568166],[-84.4761845509142,33.699874703499574],[-84.47617118030627,33.69987470190794],[-84.47616677681197,33.69987467541276],[-84.47615780969527,33.699874700314695],[-84.47614443908121,33.69987469871985],[-84.47613555202467,33.69987472719414],[-84.47612218140553,33.699874725596636],[-84.47611769784393,33.69987469552536],[-84.47611321428198,33.69987024331751],[-84.4761043272207,33.69987027178937],[-84.4760909565944,33.6998702701882],[-84.47608198946608,33.69986578790657],[-84.47602402335336,33.69985690713395],[-84.47598391141022,33.699847972982944]]]}"
00000000000000001015,,,0.2710791529488369,7.490674733409695E-4,,,,,,LLC,88a5741f-c152-4e3d-b0ec-a5ae1c5ce9e0,0.7273145916497721,0.002009774,26040,65100,49500,19800,1,49500,14 01990005029,Residential - Single Family,Campbellton Road,Campbellton Road,92.4,89855,EARTH WIND AND FURNITURE LLC,,14 019900050296,1755 N BROWN RD STE 200,,ATLANTA,GA,30311,0.12137754,0.038504005,0.103448276,R1031,1977 DODSON DR SW,ATLANTA,GA,30311,,29765.02051,858.859044,114600,,Fulton,R-4,749.0674733409695,2009.773520260114,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47663938995315,33.70073087256301],[-84.47602402335336,33.700913706809246],[-84.47598839498208,33.70092708330594],[-84.47550232575239,33.701069764930516],[-84.47551569651331,33.701087539966366],[-84.47553355087791,33.70110092302295],[-84.47555580877771,33.7011187546755],[-84.47557366313006,33.70113664483657],[-84.47558703387467,33.70114999778019],[-84.47560488821749,33.7011633808188],[-84.47567622547001,33.70121690935644],[-84.47602850692215,33.70115890727168],[-84.47663490643123,33.70105186930505],[-84.47663938995315,33.700873570173364],[-84.47663938995315,33.70073087256301]]]}"
