system:index,AOI,BUILDING,BrowningFraction,BrowningSqKm,CLASSDSCRP,CNTASSDVAL,CNVYNAME,CVTTXCD,CVTTXDSCRP,CorpSspct,GLOBALID,GreeningFraction,GreeningSqKm,IMPRASSESS,IMPR_APPR,LANDAPPR,LANDASSESS,LIVUNITS,LNDVALUE,LOWPARCELI,LandUse,NAME,NAME_1,NonHispani,OBJECTID,OWNERNME1,OWNERNME2,PARCELID,PSTLADDRES,PSTLADDR_1,PSTLCITY,PSTLSTATE,PSTLZIP5,Proporti_1,Proporti_2,Proportion,REFERENCE,SITEADDRES,SITECITY,SITESTATE,SITEZIP,STATEDAREA,Shape__Are,Shape__Len,TOT_APPR,UNIT,USEDSCRP,ZONECLASS,browning,greening,layer,path,.geo
000000000000000012d0,,,0.076445747,1.7885861134797919E-4,,,,,,LLC,b1aeae21-fef1-432b-8855-2d94013fe0fc,0.9228930880820665,0.002159275,0,0,44200,17680,0,44200,14 02480001026,Residential - Single Family,Horseshoe Community,Horseshoe Community,92.1,95716,R A MANAGEMENT LLC,,14 024800010267,3132 ESPLANADE CIR,,ATLANTA,GA,30311,0.033117535,0.099116093,0.078431373,R101,1240 SHANTER TRL SW,ATLANTA,GA,30311,,24946.18237,652.2531593455578,44200,,Fulton,FCR-3,178.85861134797918,2159.274810773133,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.49948335012779,33.721693110577164],[-84.49883236964591,33.721594953400555],[-84.4987119206538,33.721862522044425],[-84.49936746428865,33.722058744406844],[-84.49937634781071,33.72203201702999],[-84.49938531136313,33.72201413561877],[-84.49939867665748,33.72199185867853],[-84.49940756017477,33.7219695524885],[-84.49941204194877,33.7219517268429],[-84.49942092546404,33.72192499942958],[-84.4994298890096,33.7219071179924],[-84.49943877252215,33.72188039056394],[-84.49944325429374,33.72185805866049],[-84.49945213780427,33.7218357524326],[-84.49945661957483,33.72180899929982],[-84.49946558311491,33.721786696617045],[-84.49946998485284,33.72176444615383],[-84.49947446662203,33.72174211422011],[-84.49947894839087,33.721719867304174],[-84.49948335012779,33.721693110577164]]]}"
00000000000000001b28,,,0.6370463568056484,0.001550392,,,,,,LLC,3ced22a9-5141-4817-a0b5-27b8d52bfa52,0.36243121043994053,8.820559472684759E-4,79120,197800,46100,18440,1,46100,14 02480001011,Residential - Single Family,Horseshoe Community,Horseshoe Community,92.1,95753,SYLVIA F COOK LIVING TRUST THE,,14 024800010119,3360 LAREN LANE SW,,ATLANTA,GA,30311,0.033117535,0.099116093,0.078431373,R101,3360 LAREN LN SW,ATLANTA,GA,30311,,26286.91113,663.9973152,243900,,Fulton,FCR-3,1550.3922165645097,882.0559472684758,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.49847558380259,33.71909789669616],[-84.49844885278794,33.71909789826613],[-84.4980520478431,33.71909342972911],[-84.4980520478431,33.71910235743223],[-84.49802971848102,33.719646377716785],[-84.4984622182968,33.71965081851782],[-84.49847558380259,33.71910682440309],[-84.49847558380259,33.71909789669616]]]}"
00000000000000000119,,,0.18739218548464026,1.783146368487208E-5,,,,,,LLC,1a4d84a6-e588-4883-a61f-9f9e59a70ace,0.8111511717997674,7.718578352390548E-5,0,0,31300,12520,0,31300,14 0114  LL009,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,133747,STONO CHARLESTON LLC,,14 0114  LL0096,1110 NORTHCHASE PKWY NW #150,,MARIETTA,GA,30067,0.316014768,0.11592288,0.406779661,R1108,0 WEST AVE N,ATLANTA,GA,30314,,50483.84131,1012.992439,31300,,Fulton,R-4A,17.83146368487208,77.18578352390549,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.42659935762198,33.76742562161179],[-84.42659046304519,33.76741672307171],[-84.42556036577733,33.76742559188336],[-84.42556036577733,33.76743451424415],[-84.42659935762198,33.76742562161179]]]}"
000000000000000002d1,,,0.22785176261741738,1.7289934751753714E-4,,,,,,LLC,9262b9f2-8b5e-49b1-80a7-7150345d9861,0.7718905073125177,5.857289122375795E-4,0,0,34100,13640,0,34100,14 01430005079,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,71830,REALTY FUNDING CO LLC,,14 014300050798,8343 ROSWELL RD #323,,ATLANTA,GA,30350,0.316014768,0.11592288,0.406779661,R1108,498 PIERCE AVE NW,ATLANTA,GA,30318,,8109.997314,432.0481095,34100,,Fulton,R-4A,172.89934751753714,585.7289122375795,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.43192352154509,33.76880346166077],[-84.43191911472239,33.768669683571055],[-84.43137058289642,33.76866528208241],[-84.43137058289642,33.768723234536694],[-84.43136617603217,33.76879900295092],[-84.43192352154509,33.76880346166077]]]}"
00000000000000000300,,,0.3409491059045019,2.9564092832044066E-4,,,,,,LLC,7634739f-9659-490e-b0ef-65b428baee09,0.6566365876220497,5.693772090082077E-4,0,0,37800,15120,0,37800,14 01430005047,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,71708,MIDWEST REALESTATE INVESTMENTS LLC,,14 014300050475,3795 GRAND FOREST DR,,NORCROSS,GA,30092,0.316014768,0.11592288,0.406779661,R1108,0 CHAPPELL RD NW,ATLANTA,GA,30318,,9446.743652,492.1375693,37800,,Fulton,R-4A,295.64092832044065,569.3772090082077,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.43392570716868,33.76955711309218],[-84.43392122037507,33.769548158756095],[-84.43392122037507,33.76953923651287],[-84.43392122037507,33.76953031426878],[-84.4339167335811,33.76952144490388],[-84.4339167335811,33.76951252265815],[-84.4339167335811,33.769503600411554],[-84.43391232690813,33.769494649678215],[-84.43391232690813,33.76948572742995],[-84.43390784011349,33.76948127669852],[-84.4339033533185,33.769472322355],[-84.4339033533185,33.769463400104705],[-84.43389894664452,33.76945453434113],[-84.43389445984884,33.76944557999492],[-84.43388997305284,33.76943220700799],[-84.43325236380153,33.76938318482733],[-84.43328353134122,33.76951247399484],[-84.43392570716868,33.769570453967354],[-84.43392570716868,33.76955711309218]]]}"
0000000000000000120d,,,0.16734975283321227,1.2210354267463974E-4,,,,,,LLC,e1583ba0-9965-4027-8bd1-b482fd23488a,0.8321681897553905,6.071755849651267E-4,0,0,23300,9320,0,23300,14 01430004066,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,71718,CYPRESS GROVE LAND FUND LLC,,14 014300040666,1320 ELLSWORTH INDUSTRIAL BLVD STE A1500,,ATLANTA,GA,30318,0.316014768,0.11592288,0.406779661,R1108,0 WEST ANTHONY ST NW,ATLANTA,GA,30318,,8271.097656,405.5791867,23300,,Fulton,R-4A,122.10354267463975,607.1755849651267,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.43022911387222,33.769026487145744],[-84.43008640865112,33.76893278858909],[-84.42979651005864,33.76881690662521],[-84.42976534066644,33.768812442960964],[-84.42976085355463,33.768932818798916],[-84.42975644656947,33.76904877945376],[-84.42976534066644,33.76904875538615],[-84.42993032191418,33.76905321586033],[-84.43022911387222,33.7690576725474],[-84.43022911387222,33.769026487145744]]]}"
000000000000000014b4,,,0,0,,,,,,LLC,2c955e76-6d7a-47d5-afa4-5e7c9343014d,0.9936681010399004,1.3589253484501555E-5,0,0,5000,2000,0,5000,14 01430004063,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,71738,STONO CHARLESTON LLC,,14 014300040633,1110 NORTHCHASE PKWY NW #150,,MARIETTA,GA,30067,0.316014768,0.11592288,0.406779661,R1108,1268 NORTH AVE NW,ATLANTA,GA,30318,,21672.35522,635.5197817,5000,,Fulton,R-4A,0,13.589253484501555,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.42925701281763,33.76738108045466],[-84.42925252566694,33.76738104818373],[-84.42925252566694,33.76797408867407],[-84.42925701281763,33.76738108045466]]]}"
000000000000000014cb,,,0.20603678928540442,2.0994236278837802E-4,,,,,,LLC,6b62e36f-ae08-4bd0-a2dd-a33fcd916588,0.7926855504433042,8.07711467381434E-4,0,0,35200,14080,0,35200,14 01430002035,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,71582,CROSSSTONE MANAGEMENT LLC,,14 014300020353,1314 DONALD LEE HOLLOWELL PKWY NW,,ATLANTA,GA,30318,0.316014768,0.11592288,0.406779661,R1108,0 PIERCE AVE NW,ATLANTA,GA,30318,,11065.05469,492.7981789,35200,,Fulton,R-4A,209.94236278837803,807.7114674,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.43194579602572,33.76988703042102],[-84.43133044035719,33.76987817331173],[-84.43132603348994,33.77003865894107],[-84.43194579602572,33.7700475447375],[-84.43194579602572,33.76988703042102]]]}"
000000000000000014cd,,,0.082409546,7.893209430598745E-5,,,,,,LLC,737e33e8-d7f2-4a7a-bd37-f4a925c3f428,0.9171811848004665,8.784787076833203E-4,0,0,32900,13160,0,32900,14 01430002033,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,71620,CROSSSTONE MANAGEMENT LLC,,14 014300020338,1314 DONALD LEE HOLLOWELL PKWY NW,,ATLANTA,GA,30318,0.316014768,0.11592288,0.406779661,R1108,0 PIERCE AVE NW,ATLANTA,GA,30318,,10323.43311,491.8173287,32900,,Fulton,R-4A,78.93209430598745,878.4787076833203,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.4319547699148,33.77032852972329],[-84.43195028297043,33.770181324470805],[-84.43132154649749,33.770172459189055],[-84.43131713962956,33.770319603582024],[-84.4319547699148,33.77032852972329]]]}"
000000000000000014e4,,,0.10098911927197637,8.669057145036902E-5,,,,,,LLC,cb2bacea-382a-4787-9d8c-658da9513ae2,0.8985700710727849,7.713459975793089E-4,0,0,35400,14160,0,35400,14 01430002034,Residential - Single Family,Historic Westin Heights/Bankhead,Historic Westin Heights Bankhead,88.1,71609,CROSSSTONE MANAGEMENT LLC,,14 014300020346,1314 DONALD LEE HOLLOWELL PKWY NW,,ATLANTA,GA,30318,0.316014768,0.11592288,0.406779661,R1108,550 PIERCE AVE NW,ATLANTA,GA,30318,,9137.023926,475.9133452,35400,,Fulton,R-4A,86.69057145036902,771.3459975793089,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.43132603348994,33.77003865894107],[-84.43132154649749,33.770172459189055],[-84.43195028297043,33.770181324470805],[-84.43194579602572,33.7700475447375],[-84.43132603348994,33.77003865894107]]]}"
