system:index,AOI,BUILDING,BrowningFraction,BrowningSqKm,CLASSDSCRP,CNTASSDVAL,CNVYNAME,CVTTXCD,CVTTXDSCRP,CorpSspct,GLOBALID,GreeningFraction,GreeningSqKm,IMPRASSESS,IMPR_APPR,LANDAPPR,LANDASSESS,LIVUNITS,LNDVALUE,LOWPARCELI,LandUse,NAME,NAME_1,NonHispani,OBJECTID,OWNERNME1,OWNERNME2,PARCELID,PSTLADDRES,PSTLADDR_1,PSTLCITY,PSTLSTATE,PSTLZIP5,Proporti_1,Proporti_2,Proportion,REFERENCE,SITEADDRES,SITECITY,SITESTATE,SITEZIP,STATEDAREA,Shape__Are,Shape__Len,TOT_APPR,UNIT,USEDSCRP,ZONECLASS,browning,greening,layer,path,.geo
0000000000000000017a,,,0.041313781176754265,9.776781058895821E-5,,,,,,LLC,253564ba-e6e8-4eb2-899e-15ec97be23dd,0.9576626457686815,0.00226628,0,0,13600,5440,0,13600,14 01020009090,Residential - Single Family,Perkerson,Perkerson,74.6,128872,SYLVAN RD EP LLC,,14 010200090900,706 MOUNTFORD AVE UNIT 91,,RALEIGH,NC,27603,0.200092086,0.091139501,0.169911504,R1157,2366 SYLVAN RD SW REAR,ATLANTA,GA,30315,,25681.97876,647.0144147,13600,REAR,Fulton,R-4,97.76781058895821,2266.279616456757,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.41690972030418,33.690002297328235],[-84.41685177577219,33.68999781207448],[-84.41665558141378,33.6899978047976],[-84.41630334357448,33.689988885398044],[-84.41630334357448,33.6900646598267],[-84.41631223970973,33.69037232549299],[-84.41689633616424,33.69039017518554],[-84.41690972030418,33.690002297328235]]]}"
00000000000000000221,,,0.2494952056872505,0.004269204,,,,,,LLC,3edf9e7c-492e-492d-8b3c-e8fde56873dc,0.749780005,0.012829760844565634,253680,634200,1087700,435080,0,1087700,14 01020009098,Residential - Single Family,Perkerson,Perkerson,74.6,128895,CSDCPC ETHOS LLC,,14 010200090983,7880 MILESTONE PARK STE 425,,LITHONIA,GA,30038,0.200092086,0.091139501,0.169911504,R1157,2295 SPRINGDALE CIR SW,ATLANTA,GA,30315,,235612.3535,2211.302066,1721900,,Fulton,R-4,4269.204031304869,12829.760844565633,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.41631223970973,33.69037232549299],[-84.41602684140175,33.69035902226335],[-84.41602684140175,33.69040800755115],[-84.41603132956335,33.69046153257337],[-84.41603573757888,33.69074246075258],[-84.41604022573979,33.69093418122112],[-84.4160491219149,33.69113043741399],[-84.41605361007478,33.69131773485597],[-84.41605809823434,33.69150052465291],[-84.41606250624787,33.69169674722944],[-84.41563444651906,33.69177250811081],[-84.41562106208856,33.69177249939291],[-84.41562106208856,33.69179478055291],[-84.41562555028116,33.69181267195364],[-84.41562995832714,33.69183940415927],[-84.41562995832714,33.6918572630922],[-84.41562995832714,33.69187954423233],[-84.41563444651906,33.6918884211124],[-84.41563444651906,33.691901857826736],[-84.41563444651906,33.691924138956395],[-84.41563444651906,33.69194642008077],[-84.41563444651906,33.6919776306545],[-84.41563444651906,33.692008841217856],[-84.41563444651906,33.692169401118285],[-84.41684287971864,33.69217826221227],[-84.41689633616424,33.69039017518554],[-84.41631223970973,33.69037232549299]]]}"
00000000000000000236,,,0.020224173841560757,5.951414635368423E-7,,,,,,LLC,93b57769-0a40-4113-b6b8-6285241dd50b,1.445232852189614,4.252920299943753E-5,0,0,3300,1320,0,3300,14 01020003085,Residential - Single Family,Perkerson,Perkerson,74.6,128730,JSR HOMES LLC,,14 010200030856,2870 PHARR COURT SOUTH NW APT 2607,,ATLANTA,GA,30305,0.200092086,0.091139501,0.169911504,R1157,0 ROWENA LN,ATLANTA,GA,30315,,172472.13720703096,2888.731567,3300,,Fulton,R-4,0.5951414635368423,42.52920299943753,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-84.4130124922572,33.69593732113865],[-84.41319085629934,33.69607109417026]]},{""type"":""LineString"",""coordinates"":[[-84.41268251877925,33.69569207058071],[-84.41267360057715,33.69568315237861]]},{""type"":""Polygon"",""coordinates"":[[[-84.41301248256427,33.695937306598175],[-84.41268250467154,33.69569203715604],[-84.41283855711457,33.69581244019903],[-84.41301248256427,33.695937306598175]]]},{""type"":""Polygon"",""coordinates"":[[[-84.4122455235658,33.69511682985001],[-84.41219647119186,33.69498756601255],[-84.41221434485573,33.69504551959033],[-84.4122455235658,33.69511682985001]]]},{""type"":""Polygon"",""coordinates"":[[[-84.41336922850006,33.69587041625948],[-84.41336474013508,33.695865961678834],[-84.41335584355348,33.69619151269723],[-84.41319089587772,33.69607113422784],[-84.41336033191915,33.6962003892601],[-84.41336474013507,33.69600865647585],[-84.41336922850006,33.69587041625948]]]}]}"
00000000000000000870,,,0,0,,,,,,LLC,d9708064-4a95-491d-bf81-06bc4a9c5d99,0.9956408374562975,7.175863077126297E-6,0,0,14700,5880,0,14700,14 01020003069,Residential - Single Family,Perkerson,Perkerson,74.6,128709,JSR HOMES LLC,,14 010200030690,2870 PHARR COURT SOUTH NW APT 2607,,ATLANTA,GA,30305,0.200092086,0.091139501,0.169911504,R1157,0 ROWENA LN,ATLANTA,GA,30315,,5602.914063,304.7801465,14700,,Fulton,R-4,0,7.175863077126297,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.41342276825586,33.693556181241384],[-84.41341827989497,33.693556148685175],[-84.41341379153374,33.69372560224434],[-84.41341827989497,33.69372563480155],[-84.41341827989497,33.693698847001194],[-84.41342276825586,33.693556181241384]]]}"
0000000000000000090b,,#,0.137471546,8.557016532911976E-5,,,,,,LLC,93b1bc2e-825f-49ca-af66-d92c1acbe445,0.8611066358724467,5.360020969749662E-4,0,0,13900,5560,0,13900,14 01010005039,Residential - Single Family,Perkerson,Perkerson,74.6,128432,3RD EYE VISION INVESTMENT FIRM LLC,,14 010100050392,2399 PARKLAND DR UNIT 1171,,EAST POINT,GA,30344,0.200092086,0.091139501,0.169911504,R1157,0 HARWOOD DR SW # REAR,ATLANTA,GA,30315,,6897.17749,343.6272892,13900,REAR,Fulton,R-4,85.57016532911976,536.0020969749662,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.41685626387077,33.68767015227696],[-84.41650843521492,33.687665685420704],[-84.41650394708978,33.68783957276188],[-84.41685177577219,33.68784403969254],[-84.41685626387077,33.68767015227696]]]}"
00000000000000000b6a,,,0.031971927,6.183010543608198E-5,,,,,,LLC,680cbc22-0b3f-410b-b72e-60334b83cb18,0.967138623,0.001870337,221280,553200,1440400,576160,0,1440400,14 01020007034,Residential - Single Family,Perkerson,Perkerson,74.6,128823,2393 METROPOLITAN INVESTMENTS LLC,,14 010200070340,402 NEWNAN ST,,CARROLLTON,GA,30117,0.200092086,0.091139501,0.169911504,R1157,2393 METROPOLITAN PKWY SW,ATLANTA,GA,30315,,305125.925,2879.532733,1993600,,Fulton,R-4,61.83010543608198,1870.3371473460813,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-84.410493100162,33.689239751356375],[-84.410493100162,33.68924421045743]]},{""type"":""Polygon"",""coordinates"":[[[-84.41049307806233,33.68923978723962],[-84.41047969246061,33.68910600300536],[-84.41047528402824,33.689105973972566],[-84.41049307806233,33.68923978723962]]]},{""type"":""Polygon"",""coordinates"":[[[-84.41116195349935,33.689814960625654],[-84.41112628567838,33.68951178343205],[-84.41053323484921,33.68951178673527],[-84.41063583090666,33.690198472508925],[-84.41062244533744,33.69001561941131],[-84.41060905976518,33.68982834368],[-84.41116195349935,33.689814960625654]]]}]}"
000000000000000010ff,,,0.030058296,7.721138154759126E-7,,,,,,LLC,49250237-5fd8-4518-a08f-055a92537248,0.9658356140695047,2.4809624025634676E-5,550920,1377300,2826200,1130480,0,2826200,14 01010001012,Residential - Single Family,Perkerson,Perkerson,74.6,128368,BRIDGELINE CAPITAL LLC,,14 010100010123,2346 BRIARCLIFF COMMONS,,ALPHARETTA,GA,30022,0.200092086,0.091139501,0.169911504,R1157,2461 METROPOLITAN PKWY SW,ATLANTA,GA,30315,,223334.4988,1952.4288477044397,4203500,,Fulton,R-4,0.7721138154759126,24.809624025634676,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""MultiPolygon"",""coordinates"":[[[[-84.40968152035111,33.68748283482827],[-84.40971278055936,33.687603226128616],[-84.40971718904893,33.6876032551844],[-84.40968152035111,33.68748283482827]]],[[[-84.40968152035111,33.68748283482827],[-84.40965482892938,33.68738033933512],[-84.40961908003925,33.687259915070065],[-84.40968152035111,33.68748283482827]]],[[[-84.40983317228299,33.68787077543873],[-84.40976183500648,33.687616668132826],[-84.40989561236741,33.68812499042113],[-84.40990002084325,33.68813386418861],[-84.40990450947288,33.688133896860265],[-84.40983317228299,33.68787077543873]]]]}"
00000000000000002068,,,0.5404555816994047,4.388555877074304E-4,,,,,,LLC,b579e227-937d-450d-b223-bafde1a09b28,0.4583223543116678,3.7216254762037124E-4,0,0,15600,6240,0,15600,14 01020002035,Residential - Single Family,Perkerson,Perkerson,74.6,128664,BELTEM TRUST THE,,14 010200020352,P O BOX 63718,,,,,0.200092086,0.091139501,0.169911504,R1157,656 BANKS AVE SW,ATLANTA,GA,30315,,8748.554688,418.8794654,15600,,Fulton,R-4,438.8555877074304,372.16254762037124,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.41009623776092,33.69579904910996],[-84.40994017803536,33.695799057061414],[-84.40990450947288,33.695799061381415],[-84.4098822266296,33.69621380653811],[-84.40994017803536,33.69621378846888],[-84.41006946637367,33.696218268708485],[-84.41009623776092,33.69579904910996]]]}"
00000000000000002074,,,0.041505227,2.5838245371977486E-5,,,,,,LLC,b1930bc8-e7e9-4be7-ba40-18e06e6ea2c5,0.9564954011381134,5.954470013093713E-4,0,0,15600,6240,0,15600,14 01020002034,Residential - Single Family,Perkerson,Perkerson,74.6,128702,BELTEM TRUST THE,,14 010200020345,P O BOX 63718,,,,,0.200092086,0.091139501,0.169911504,R1157,0 BANKS AVE SW,ATLANTA,GA,30315,,6664.038574,391.20974335141904,15600,,Fulton,R-4,25.838245371977486,595.4470013093712,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.41009623776092,33.69579904910996],[-84.41006946637367,33.696218268708485],[-84.41020773164082,33.69621822214078],[-84.41024788862268,33.69580351890435],[-84.41009623776092,33.69579904910996]]]}"
000000000000000027b3,,,0,0,,,,,,LLC,e2f82e29-325a-496b-a5da-aab108f6e692,0.9970749784285651,2.6027101126956005E-5,0,0,500,200,0,500,14 01020003090,Residential - Single Family,Perkerson,Perkerson,74.6,128731,JSR HOMES LLC,,14 010200030906,2870 PHARR COURT SOUTH NW APT 2607,,ATLANTA,GA,30305,0.200092086,0.091139501,0.169911504,R1157,0 ROWENA LN,ATLANTA,GA,30315,,5024.145264,418.5808972,500,,Fulton,R-4,0,26.027101126956005,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.41338702165784,33.69503656127621],[-84.41338261344359,33.69503661736959],[-84.4133737168647,33.69553156908904],[-84.41337812507963,33.69554044209173],[-84.41337812507963,33.69551373984936],[-84.41338261344359,33.69534428953459],[-84.41338261344359,33.695241732258275],[-84.41338702165784,33.69518376442042],[-84.41338702165784,33.69503656127621]]]}"
