system:index,AOI,BUILDING,BrowningFraction,BrowningSqKm,CLASSDSCRP,CNTASSDVAL,CNVYNAME,CVTTXCD,CVTTXDSCRP,CorpSspct,GLOBALID,GreeningFraction,GreeningSqKm,IMPRASSESS,IMPR_APPR,LANDAPPR,LANDASSESS,LIVUNITS,LNDVALUE,LOWPARCELI,LandUse,NAME,NAME_1,NonHispani,OBJECTID,OWNERNME1,OWNERNME2,PARCELID,PSTLADDRES,PSTLADDR_1,PSTLCITY,PSTLSTATE,PSTLZIP5,Proporti_1,Proporti_2,Proportion,REFERENCE,SITEADDRES,SITECITY,SITESTATE,SITEZIP,STATEDAREA,Shape__Are,Shape__Len,TOT_APPR,UNIT,USEDSCRP,ZONECLASS,browning,greening,layer,path,.geo
00000000000000000afd,,,0,8.605402105929806E-6,,,,,,LLC,7af7f63d-3f21-441d-96e1-06d366995476,0,2.689158915386481E-5,0,0,45600,18240,0,45600,14 01990003020,Residential - Single Family,Southwest,Southwest,93,89654,BURUJ LLC,,14 019900030207,2145 DULUTH HWY STE A,,DULUTH,GA,30097,0.153740312,0.139514813,0.133501259,R1031,0 DODSON DR SW,ATLANTA,GA,30311,,20456.21216,604.6317084,45600,,Fulton,R-4,8.605402105929805,26.89158915386481,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""LineString"",""coordinates"":[[-84.47626484070032,33.70327700147262],[-84.47690249215097,33.70327254237157]]}"
000000000000000013cb,,,0.15719375472590633,4.1747821898051335E-4,,,,,,LLC,b0933033-dea9-44e3-851f-adab7d1ebaa7,0.8415845629737411,0.002235097,0,0,136300,54520,0,136300,14 01990003015,Residential - Single Family,Southwest,Southwest,93,89661,FOSTER MARY S & TRUST CO BANK,,14 019900030157,2800 KINGSTON TER,,EAST POINT,GA,30344,0.153740312,0.139514813,0.133501259,R1031,0 CAMPBELLTON RD SW,ATLANTA,GA,30311,,29139.83765,785.6802233746531,136300,,Fulton,R-4,417.47821898051336,2235.096585639785,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47486020537067,33.70347762598743],[-84.4748513181189,33.703477654322484],[-84.47479783444906,33.70268840895817],[-84.47448565857964,33.702746326013205],[-84.47452577155077,33.703549004864556],[-84.47462385205293,33.70353118998524],[-84.47486020537067,33.70348213298528],[-84.47486020537067,33.70347762598743]]]}"
0000000000000000048e,,,0.37018288904451957,4.8656027889485467E-4,,,,,,LLC,8efe9bf6-7fa9-4133-a2b5-19d07c6173a2,0.6284848948574012,8.260667761071053E-4,32920,82300,24100,9640,1,24100,14 01990003071,Residential - Single Family,Southwest,Southwest,93,89779,PHYLLIS JOHNSON LIVING TRUST THE,,14 019900030710,3645 NARKETPLACE BLVD STE 130-35,,EAST POINT,GA,30344,0.153740312,0.139514813,0.133501259,R1031,1814 SANDRINGHAM DR SW,ATLANTA,GA,30311,,14151.75146,544.1430627,106400,,Fulton,R-4,486.56027889485466,826.0667761071053,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47447677127093,33.70567154201561],[-84.47384801076758,33.705702730582686],[-84.47379452617993,33.70589898464853],[-84.47447677127093,33.705867719105996],[-84.47447677127093,33.70568489261518],[-84.47447677127093,33.70567154201561]]]}"
00000000000000000503,,,0.24269929167198295,2.8385703871425456E-4,,,,,,LLC,930f589e-da2e-4dfe-a75f-044975ebddf4,0.756113712,8.84337970936532E-4,37840,94600,23200,9280,1,23200,14 01990003075,Residential - Single Family,Southwest,Southwest,93,89781,J BYRD PROPERTIES LLC,,14 019900030751,4060 PEACHTREE RD STE D-246,,ATLANTA,GA,30319,0.153740312,0.139514813,0.133501259,R1031,1821 SANDRINGHAM DR SW,ATLANTA,GA,30311,,12655.34619,467.7913392,117800,,Fulton,R-4,283.85703871425454,884.3379709365321,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47510544494739,33.70573397060752],[-84.4750965577329,33.705577873310084],[-84.47508767051704,33.705430789566314],[-84.47462385205293,33.70553780139303],[-84.4746283357291,33.70555118217178],[-84.4746283357291,33.70556002589412],[-84.47463281940492,33.705568984809254],[-84.47463281940492,33.70558233542576],[-84.47463730308039,33.705591294338724],[-84.47463730308039,33.705604644952125],[-84.47463730308039,33.70561357370526],[-84.47464170668991,33.70562695089773],[-84.47464170668991,33.705635879648774],[-84.47464170668991,33.7056492302559],[-84.47464170668991,33.70565815900482],[-84.47464170668991,33.70566708775289],[-84.47464170668991,33.70568494524649],[-84.47464170668991,33.70572508207684],[-84.47510544494739,33.70573397060752]]]}"
00000000000000000518,,,0.3206673174981938,3.460834807603968E-4,,,,,,LLC,1772caab-cafe-42f1-b9a3-f5082c80918a,0.6778683676970685,7.315963660415482E-4,40920,102300,22400,8960,1,22400,14 01990003040,Residential - Single Family,Southwest,Southwest,93,89765,ULMER LLC,,14 019900030405,10 JONES AVE,,ATLANTA,GA,30318,0.153740312,0.139514813,0.133501259,R1031,1901 WINDSOR DR SW,ATLANTA,GA,30311,,11724.25488,484.3019007,124700,,Fulton,R-4,346.0834807603968,731.5963660415482,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47439198147397,33.70357576960106],[-84.47424041640308,33.70360701268398],[-84.47416010997543,33.7036069978028],[-84.4740887708729,33.7040483868248],[-84.47431623902068,33.70406177694469],[-84.47439198147397,33.703584698544816],[-84.47439198147397,33.70357576960106]]]}"
00000000000000000b74,,,0.43437806374920385,4.835392880127709E-4,,,,,,LLC,f1f6eee8-2965-467d-a271-609b11524d16,0.564754363,6.286710711873048E-4,41240,103100,35800,14320,1,35800,14 01990003028,Residential - Single Family,Southwest,Southwest,93,89655,A R ATLANTA PROPERTIES LLC,,14 019900030280,2812 PIN OAK DR,,HARRISBURG,PA,17112,0.153740312,0.139514813,0.133501259,R1031,1825 WINDSOR DR SW,ATLANTA,GA,30311,,11893.89453,463.8133297,138900,,Fulton,R-4,483.5392880127709,628.6710711873047,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47628711218238,33.70545747175939],[-84.47604187756271,33.70545749293792],[-84.47576990051789,33.70545751013303],[-84.47577430404209,33.7054887448731],[-84.47577430404209,33.705506517387455],[-84.47577878763002,33.70553775568612],[-84.47577878763002,33.70556003509395],[-84.47578327121761,33.70559127337506],[-84.47578327121761,33.70560913090601],[-84.47578775480486,33.705631440408865],[-84.47578775480486,33.70565814165688],[-84.47604187756271,33.70567152834548],[-84.47628270869681,33.70568491637086],[-84.47628711218238,33.70557346084523],[-84.47628711218238,33.70545747175939]]]}"
00000000000000000b87,,,0.37085292693615385,3.529766837890242E-4,,,,,,LLC,6f8dee9d-1945-4265-b160-ce08aa2c180c,0.6283958268418024,5.981052297415683E-4,20360,50900,35100,14040,1,35100,14 01990003027,Residential - Single Family,Southwest,Southwest,93,89686,EBR PROPERTIES LLC,,14 019900030272,1107 RALPH DAVID ABERNATHY BLVD,,ATLANTA,GA,30310,0.153740312,0.139514813,0.133501259,R1031,1815 WINDSOR DR SW,ATLANTA,GA,30311,,10240.68237,437.8750185,86000,,Fulton,R-4,352.9766837890242,598.1052297415682,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47578775480486,33.70565814165688],[-84.47578775480486,33.70568492793308],[-84.47578775480486,33.705702785446306],[-84.47578775480486,33.70572506481517],[-84.47578775480486,33.70574734417874],[-84.4757921583277,33.705765143181964],[-84.4757921583277,33.70578750757183],[-84.47578775480486,33.70580533852782],[-84.47578775480486,33.70584547535839],[-84.47604187756271,33.70585886207377],[-84.47628270869681,33.70587216508748],[-84.47628270869681,33.70573840389436],[-84.47628270869681,33.70568491637086],[-84.47604187756271,33.70567152834548],[-84.47578775480486,33.70565814165688]]]}"
00000000000000001105,,,0.39330655627593214,3.568487209913776E-4,,,,,,LLC,a7527640-67cf-4c0a-841a-a0be34ca415c,0.6059432975224056,5.497749459392883E-4,19000,47500,21300,8520,1,21300,14 01990003003,Residential - Single Family,Southwest,Southwest,93,89651,TRUE NORTH PROPERTIES LLC,,14 019900030033,PO BOX 3802,,MABLETON,GA,30126,0.153740312,0.139514813,0.133501259,R1031,1822 DODSON DR SW,ATLANTA,GA,30311,,9794.544189,433.789444,68800,,Fulton,R-4,356.8487209913776,549.7749459392883,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.4767820618463,33.70551995936221],[-84.47628711218238,33.70557346084523],[-84.47628270869681,33.70568491637086],[-84.47628270869681,33.70573840389436],[-84.47677765839802,33.70571168891532],[-84.4767820618463,33.70551995936221]]]}"
00000000000000001628,,,0.2290637955171456,2.132155663897011E-4,,,,,,LLC,0a3ea040-fddc-414b-b3d5-2cb0775992ea,0.768772401,7.155833707738165E-4,34600,86500,21200,8480,1,21200,14 01990003111,Residential - Single Family,Southwest,Southwest,93,89738,DILL REAL ESTATE MANAGEMENT LLC,,14 019900031114,P O BOX 450402,,ATLANTA,GA,31145,0.153740312,0.139514813,0.133501259,R1031,1948 SANDRINGHAM DR SW,ATLANTA,GA,30311,,10014.26636,428.8047891,107700,,Fulton,R-4,213.21556638970108,715.5833707738165,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47246123888172,33.703147680058954],[-84.47244338357888,33.703022812216226],[-84.47243001211535,33.70295597033449],[-84.4719439933714,33.702951519853535],[-84.47201533509072,33.70314765800279],[-84.47203319052424,33.70314769039132],[-84.47246123888172,33.703147680058954]]]}"
000000000000000016e1,,,0.348395951,3.976203138537268E-4,,,,,,LLC,40c18863-7354-4e3f-8453-eb76d9820dbe,0.6508088434901319,7.42760689221761E-4,41840,104600,39000,15600,1,39000,14 01990003106,Residential - Single Family,Southwest,Southwest,93,89725,JLV PROPERTIES LLC,,14 019900031064,PO BOX 3604,,SAN CLEMENTE,CA,92674,0.153740312,0.139514813,0.133501259,R1031,1877 DODSON DR SW,ATLANTA,GA,30311,,12439.07227,619.6604452,143600,,Fulton,R-4,397.6203138537268,742.7606892,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47689807257342,33.70401275991714],[-84.47689358907134,33.70400830791217],[-84.47688910556892,33.7040082778523],[-84.47688910556892,33.703950367357905],[-84.47655916688385,33.70395035058884],[-84.47680888284232,33.70444978156802],[-84.4768222533044,33.704476484767504],[-84.47683114025655,33.70448989212792],[-84.47684002720734,33.704512143329104],[-84.47684899421938,33.70453448313557],[-84.47685788116746,33.70455231240621],[-84.47686236467229,33.70457011518339],[-84.47687125161832,33.704592451401524],[-84.47687573512212,33.70461025417102],[-84.47688021862558,33.704614706151084],[-84.47688462206614,33.70463259037927],[-84.47689807257342,33.70401718186221],[-84.47689807257342,33.70401275991714]]]}"
000000000000000019b1,,,0.702360322,6.887917995223813E-4,,,,,,LLC,aa022feb-0d9b-46d8-b5d2-f89470bea22b,0.2966069022984066,2.9087691240041864E-4,29640,74100,35900,14360,1,35900,14 01990003119,Residential - Single Family,Southwest,Southwest,93,89751,NATASHA PROPERTIES LLC & SHADOW PROPERTIES LLC,,14 019900031197,4064 CARMEL SPRINGS WAY,,SAN DIEGO,CA,92130,0.153740312,0.139514813,0.133501259,R1031,1939 SANDRINGHAM DR SW,ATLANTA,GA,30311,,10612.55835,455.6893467,110000,,Fulton,R-4,688.7917995223812,290.87691240041863,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47319250092724,33.70337508229947],[-84.47315687083038,33.70318785345251],[-84.47263514764472,33.7031744124707],[-84.47266189047492,33.70333054579854],[-84.47266189047492,33.70335282565246],[-84.47319250092724,33.70337508229947]]]}"
00000000000000001e73,,,0.15676438527174744,1.6525502894158456E-4,,,,,,LLC,11b1d361-248a-4011-bb6c-6345b509b652,0.8425307544775323,8.881637495276969E-4,29360,73400,35100,14040,1,35100,14 01990003101,Residential - Single Family,Southwest,Southwest,93,89770,EAL INVESTMENTS LLC,,14 019900031015,8325 DUNWOODY PL BLDG 2,,SANDY SPRINGS,GA,30350,0.153740312,0.139514813,0.133501259,R1031,1812 WINDSOR DR SW,ATLANTA,GA,30311,,11223.266601562498,456.3976702,108500,,Fulton,R-4,165.25502894158456,888.1637495,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.4756272261544,33.70572504041137],[-84.47562274255485,33.70570723782272],[-84.47510544494739,33.70575624995188],[-84.47511441222551,33.70592127925894],[-84.47511881579908,33.70594350008849],[-84.47562274255485,33.705916765675035],[-84.4756272261544,33.70581424285351],[-84.4756272261544,33.70578745661907],[-84.4756272261544,33.7057695991252],[-84.4756272261544,33.70574731977093],[-84.4756272261544,33.70572504041137]]]}"
000000000000000027e7,,,0.36500973882180177,3.9274046702548565E-4,,,,,,LLC,8878c8a3-3609-48fa-a500-e5fc22c64d04,0.6342693925903106,6.82456468887539E-4,31280,78200,22700,9080,1,22700,14 01990003081,Residential - Single Family,Southwest,Southwest,93,89795,LIMRA PROPERTIES LLC,,14 019900030819,4183 PEACHTREE FARM RD,,ATLANTA,GA,30311,0.153740312,0.139514813,0.133501259,R1031,1861 SANDRINGHAM DR SW,ATLANTA,GA,30311,,11504.107666015598,486.3703726,100900,,Fulton,R-4,392.74046702548566,682.4564689,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47387923677667,33.7045835196154],[-84.47370981546047,33.70457909900675],[-84.47347345749218,33.70501158153942],[-84.47349571617629,33.70502048411827],[-84.47350908739611,33.70502499302412],[-84.47352694237351,33.70502944709172],[-84.47354479734547,33.705033901156455],[-84.47355816855408,33.70503832502008],[-84.47357602351649,33.705042779079726],[-84.47359387847347,33.7050472331365],[-84.47360724967085,33.705051742030214],[-84.47362502455125,33.70505168558972],[-84.47364287949326,33.70505622467481],[-84.4736607344298,33.705060678720876],[-84.47367410561189,33.705060680690686],[-84.4736919605389,33.70506513473179],[-84.47370981546047,33.70506508185425],[-84.4737275903097,33.705069532313566],[-84.47387923677667,33.7045835196154]]]}"
00000000000000002853,,,0.575356071,5.041724722166857E-4,,,,,,LLC,ed16e84d-6c5d-469c-b941-c6d20d600a10,0.4228455910765903,3.7053073341741306E-4,37720,94300,21600,8640,1,21600,14 01990003084,Residential - Single Family,Southwest,Southwest,93,89792,B & I INVESTMENT PROP LLC,,14 019900030843,6950 CONNELL RD,,FAIRBURN,GA,30213,0.153740312,0.139514813,0.133501259,R1031,1889 SANDRINGHAM DR SW,ATLANTA,GA,30311,,9351.324219,445.6671897,115900,,Fulton,R-4,504.17247221668566,370.53073341741305,Tax_Parcel_2021_LLC,C:\Users\kem99059\Desktop\ForestHealthPostDoc\Atlanta\AtlTaxParcels2021\Tax_Parcel_2021_LLC.shp,"{""type"":""Polygon"",""coordinates"":[[[-84.47343334379907,33.70448987719837],[-84.47328169617562,33.704494328378004],[-84.47324158235095,33.70442748354047],[-84.47285365382416,33.704454203927526],[-84.47298296361906,33.70465037709275],[-84.47299185115483,33.70466378467742],[-84.47300081875713,33.70467719583639],[-84.47300970629018,33.704686096485936],[-84.47342886003125,33.70454342006737],[-84.47343334379907,33.70448987719837]]]}"
